participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.config.real_world_currency_per_point,session.config.treatment,mrt.1.player.id_in_group,mrt.1.player.role,mrt.1.player.payoff,mrt.1.player.treatment,mrt.1.player.inform1,mrt.1.player.inform2,mrt.1.player.inform3,mrt.1.player.belief_comp1,mrt.1.player.belief_comp2,mrt.1.player.belief_comp3,mrt.1.player.prior_comp1,mrt.1.player.prior_comp2,mrt.1.player.prior_comp3,mrt.1.player.posterior_comp1,mrt.1.player.posterior_comp2,mrt.1.player.q_warm_up,mrt.1.player.q1,mrt.1.player.q2,mrt.1.player.q3,mrt.1.player.q4,mrt.1.player.q5,mrt.1.player.q6,mrt.1.player.q7,mrt.1.player.q8,mrt.1.player.q9,mrt.1.player.q10,mrt.1.player.q11,mrt.1.player.q12,mrt.1.player.q13,mrt.1.player.q14,mrt.1.player.q15,mrt.1.player.iq_score,mrt.1.player.rank,mrt.1.player.prior_1,mrt.1.player.prior_2,mrt.1.player.prior_3,mrt.1.player.prior_4,mrt.1.player.pair_id_in_session,mrt.1.player.pair_id_in_group,mrt.1.player.goodnews,mrt.1.player.posterior_1,mrt.1.player.posterior_2,mrt.1.player.posterior_3,mrt.1.player.posterior_4,mrt.1.player.time_pref_qual1,mrt.1.player.time_pref_qual2,mrt.1.player.risk_pref465,mrt.1.player.risk_pref450,mrt.1.player.risk_pref435,mrt.1.player.risk_pref420,mrt.1.player.risk_pref405,mrt.1.player.risk_pref390,mrt.1.player.risk_pref375,mrt.1.player.risk_pref360,mrt.1.player.risk_pref345,mrt.1.player.risk_pref330,mrt.1.player.risk_pref315,mrt.1.player.risk_pref300,mrt.1.player.risk_pref285,mrt.1.player.risk_pref270,mrt.1.player.risk_pref255,mrt.1.player.risk_pref240,mrt.1.player.risk_pref225,mrt.1.player.risk_pref210,mrt.1.player.risk_pref195,mrt.1.player.risk_pref180,mrt.1.player.risk_pref150,mrt.1.player.risk_pref165,mrt.1.player.risk_pref135,mrt.1.player.risk_pref120,mrt.1.player.risk_pref105,mrt.1.player.risk_pref90,mrt.1.player.risk_pref75,mrt.1.player.risk_pref60,mrt.1.player.risk_pref45,mrt.1.player.risk_pref30,mrt.1.player.risk_pref15,mrt.1.player.time_pref343,mrt.1.player.time_pref336,mrt.1.player.time_pref329,mrt.1.player.time_pref323,mrt.1.player.time_pref316,mrt.1.player.time_pref309,mrt.1.player.time_pref303,mrt.1.player.time_pref296,mrt.1.player.time_pref290,mrt.1.player.time_pref283,mrt.1.player.time_pref277,mrt.1.player.time_pref270,mrt.1.player.time_pref264,mrt.1.player.time_pref258,mrt.1.player.time_pref252,mrt.1.player.time_pref246,mrt.1.player.time_pref240,mrt.1.player.time_pref234,mrt.1.player.time_pref228,mrt.1.player.time_pref223,mrt.1.player.time_pref217,mrt.1.player.time_pref212,mrt.1.player.time_pref206,mrt.1.player.time_pref201,mrt.1.player.time_pref195,mrt.1.player.time_pref190,mrt.1.player.time_pref185,mrt.1.player.time_pref180,mrt.1.player.time_pref175,mrt.1.player.time_pref170,mrt.1.player.time_pref165,mrt.1.player.age,mrt.1.player.gender,mrt.1.player.field_of_study,mrt.1.player.sat_act,mrt.1.player.gpa,mrt.1.player.surveyIQ1,mrt.1.player.surveyIQ2,mrt.1.player.surveyIQ3,mrt.1.player.quiz_bonus,mrt.1.player.random_bonus,mrt.1.player.prior_estimation_bonus,mrt.1.player.posterior_estimation_bonus,mrt.1.player.completion_fee,mrt.1.player.final_compensation,mrt.1.group.id_in_subsession,mrt.1.subsession.round_number
1,ksmgrbhd,17,0,107,107,mrt,Finished,07:26.0,1,,,14,s2f4vx8h,,,,,0,T_Now,0,1,now,3,,14,now,2,2,1,3,1,2,4,0,1,1,1,2,2,2,3,4,1,3,2,4,1,2,4,0,3,3,4,14,1,25,25,25,25,8,2,1,50,50,0,0,8,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,2,1,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,99,99,99,2,1,1,99,18,1,De-identified,De-identified,De-identified,1,2,2,2.8,0.07,1,0,10,13.87,1,1
2,kxolo1t4,22,0,107,107,mrt,Finished,07:26.1,1,,,14,s2f4vx8h,,,,,0,T_Now,0,1,now,4,,14,now,2,2,1,3,1,2,4,0,1,1,1,0,3,2,3,4,2,3,2,4,1,2,4,4,3,3,4,12,2,15,45,30,10,3,1,1,25,50,25,0,9,8,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,2,1,1,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,1,1,99,1,99,99,99,20,1,De-identified,De-identified,De-identified,1,3,2,2.4,0.88,0,1,10,14.28,2,1
3,yi6tptxz,3,0,107,107,mrt,Finished,07:26.1,1,,,13,s2f4vx8h,,,,,0,T_Now,0,1,now,1,,13,now,2,2,1,3,1,2,4,0,1,1,1,1,2,2,4,0,3,0,2,4,1,2,4,0,4,3,4,9,4,10,40,40,10,2,4,0,5,40,45,10,2,6,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,99,99,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,99,3,99,1,99,99,99,23,1,De-identified,De-identified,De-identified,1,4,3,1.8,0.91,0,0,10,12.71,2,1
4,gr5tzjva,13,0,107,107,mrt,Finished,07:26.1,1,,,12,s2f4vx8h,,,,,0,T_Now,0,1,now,1,,12,now,2,2,1,3,1,2,4,0,1,1,1,2,3,1,1,3,0,4,4,2,1,2,0,3,3,3,1,4,4,15,25,35,25,5,4,0,10,20,40,30,10,5,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,2,2,1,99,99,99,1,99,99,99,99,99,99,99,99,99,99,2,99,2,2,1,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,19,2,De-identified,De-identified,De-identified,0,1,1,0.8,0.43,0,1,10,12.23,1,1
5,3k2eevo5,8,0,107,107,mrt,Finished,07:26.1,1,,,14,s2f4vx8h,,,,,0,T_Now,0,1,now,4,,14,now,2,2,1,3,1,2,4,0,1,1,1,2,2,0,1,4,2,0,1,4,1,1,4,0,4,1,4,6,3,5,30,45,20,4,1,1,10,55,35,0,8,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,99,1,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,99,99,99,2,1,1,99,18,2,De-identified,De-identified,De-identified,0,5,2,1.2,0.81,1,1,10,14.01,1,1
6,4pwrdnof,6,0,107,107,mrt,Finished,07:26.1,1,,,14,s2f4vx8h,,,,,0,T_Now,0,1,now,2,,14,now,2,2,1,3,1,2,4,0,1,1,1,2,4,1,3,2,1,3,2,4,1,2,4,0,3,4,4,10,3,20,40,20,20,7,3,0,0,20,50,30,4,8,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,2,1,1,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,99,1,99,99,99,1,99,99,99,99,99,99,99,24,2,De-identified,De-identified,De-identified,1,2,3,2,0.62,1,0,10,13.62,2,1
7,ozo60aiu,2,0,107,107,mrt,Finished,07:26.2,1,,,14,s2f4vx8h,,,,,0,T_Now,0,1,now,3,,14,now,2,2,1,3,1,2,4,0,1,1,1,1,2,2,3,0,1,0,2,4,1,2,4,1,3,3,4,13,1,70,24,5,1,6,2,1,85,14,1,0,5,8,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,2,1,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,2,1,99,1,99,99,99,24,1,De-identified,De-identified,De-identified,0,4,5,2.6,0.66,1,0,10,14.26,2,1
8,mlegcm9k,24,0,107,107,mrt,Finished,07:26.2,1,,,12,s2f4vx8h,,,,,0,T_Now,0,1,now,2,,12,now,2,2,1,3,1,2,4,0,1,1,1,2,2,1,1,1,1,3,2,4,1,2,3,1,3,0,3,9,2,20,40,30,10,1,3,0,0,20,50,30,8,8,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,99,2,1,1,99,99,99,99,99,99,2,99,2,2,1,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,18,2,De-identified,De-identified,De-identified,0,2,2,1.8,0.28,0,0,10,12.08,1,1
1,27lva166,8,0,107,107,mrt,Finished,32:22.8,1,,,15,kzlsic69,,,,,0,T_10,0,1,10,3,,15,10,2,2,1,3,1,2,4,0,1,1,1,0,2,2,3,2,1,3,2,4,1,2,4,2,4,3,4,12,1,25,30,30,15,7,2,1,30,35,35,0,7,8,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,99,1,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,1,1,99,1,99,99,99,19,2,De-identified,De-identified,De-identified,0,5,5,2.4,0.66,1,1,10,15.06,1,1
2,v0eu882w,2,0,107,107,mrt,Finished,32:22.9,1,,,13,kzlsic69,,,,,0,T_10,0,1,10,3,,13,10,2,2,1,3,1,2,4,0,1,1,1,2,0,2,1,4,1,2,4,2,1,2,4,1,4,0,0,7,3,10,20,30,40,8,2,1,20,20,60,0,6,8,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,2,1,1,99,1,99,99,99,99,99,99,99,1,1,99,1,99,99,99,1,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,20,1,De-identified,De-identified,De-identified,0,5,3,1.4,0.71,0,1,10,13.11,2,1
3,xbc7swvq,10,0,107,107,mrt,Finished,32:23.0,1,,,14,kzlsic69,,,,,0,T_10,0,1,10,4,,14,10,2,2,1,3,1,2,4,0,1,1,1,1,2,1,1,4,1,0,4,4,1,2,4,3,3,3,3,9,1,25,25,25,25,4,1,1,34,33,33,0,8,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,99,1,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,99,99,99,2,99,2,2,18,2,De-identified,De-identified,De-identified,0,5,5,1.8,0.59,1,1,10,14.39,2,1
4,vl69hx0i,4,0,107,107,mrt,Finished,32:23.0,1,,,14,kzlsic69,,,,,0,T_10,0,1,10,1,,14,10,2,2,1,3,1,2,4,0,1,1,1,2,2,1,3,1,1,3,2,4,1,3,1,2,1,4,4,8,2,20,35,35,10,3,4,0,0,15,50,35,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,99,2,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,99,99,99,2,99,2,1,20,1,De-identified,De-identified,De-identified,0,2,2,1.6,0.92,0,1,10,13.52,2,1
5,oeww64zl,18,0,107,107,mrt,Finished,32:23.0,1,,,14,kzlsic69,,,,,0,T_10,0,1,10,4,,14,10,2,2,1,3,1,2,4,0,1,1,1,3,2,1,3,1,4,2,2,4,1,2,4,1,3,3,4,11,2,0,50,50,0,6,1,1,20,60,20,0,6,10,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,2,1,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,99,99,99,2,2,1,99,20,1,De-identified,De-identified,De-identified,0,5,6,2.2,0.63,0,1,10,13.83,1,1
6,fsu1yrjp,17,0,107,107,mrt,Finished,32:23.0,1,,,13,kzlsic69,,,,,0,T_10,0,1,10,1,,13,10,2,2,1,3,1,2,4,0,1,1,1,2,4,1,3,0,2,3,0,4,1,2,4,2,3,3,1,8,4,10,20,40,30,5,4,0,0,10,50,40,7,8,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,2,1,1,99,1,99,99,99,99,99,99,99,21,2,De-identified,De-identified,De-identified,1,2,1,1.6,0.7,1,0,10,13.3,1,1
